4	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	
5	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	
6	22	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	
7	17	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	
8	74	1	1	2	0	0	1	0	0	0	1	0	0	1	1	1	0	
9	52	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	
10	72	0	1	1	0	1	1	2	1	0	1	0	0	0	0	1	0	
11	95	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	
12	112	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	
13	129	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	
14	144	0	2	1	0	1	1	2	0	3	4	2	0	2	2	2	0	
15	141	1	0	1	0	1	0	1	0	2	2	1	0	1	3	2	1	
16	149	4	4	4	0	4	4	4	0	16	12	12	0	13	15	18	1	
17	259	2	2	3	0	2	2	2	1	6	6	6	1	10	7	7	0	
18	180	16	19	19	0	16	20	20	0	57	65	60	0	59	52	54	1	
19	207	1	2	1	1	1	2	1	1	4	4	3	0	4	3	5	0	
20	224	89	107	110	0	92	108	111	0	282	299	293	1	263	298	296	0	
21	244	4	4	5	0	4	4	5	1	11	12	15	1	12	12	19	1	
22	335	903	1046	1068	0	909	1063	1069	0	2402	2499	2418	1	2442	2537	2535	1	
23	285	14	16	16	0	14	16	16	1	35	48	41	0	36	44	45	2	
24	293	246	304	284	6	245	289	283	8	645	688	648	2	647	681	684	0	
25	322	30	34	34	0	30	37	37	0	85	89	81	0	77	87	87	1	
26	356	267	302	306	1	268	306	305	0	610	713	677	0	614	683	660	0	
27	347	317	358	363	0	316	359	360	0	741	861	867	3	798	856	825	25	
28	396	2232	2571	2554	1	2231	2580	2640	1	5048	5595	5374	0	4835	5428	5611	0	
29	463	1201	1359	1367	0	1200	1367	1398	2	2789	2980	2881	0	2738	2891	2916	0	
30	434	47256	54239	54801	1	47212	58036	56411	1	102607	107398	107280	1	101114	108475	108651	1	
31	472																	
32	577																	
33	626																	
34	547																	
35	696																	
36	833																	
37	690																	
38	654																	
39	727																	
40	908																	
41	1129																	
42	1039																	
43	1004																	
44	1313																	
45	961																	
46	1581																	
47	2153																	
48	1210																	
49	1313																	
50	1346																	
51	1994																	
52	1273																	
53	3393																	
54	1699																	
55	1859																	
56	1752																	
57	3012																	
58	3100																	
59	2410																	
60	1896																	
61	1787																	
62	6497																	
63	2227																	
64	2105																	
65	7214																	
66	2834																	
67	3619																	
68	4633																	
69	3296																	
70	6618																	
71	5055																	
72	7840																	
73	5482																	
74	4891																	
75	5069																	
76	7998																	
77	5015																	
78	3923																	
79	8045																	
80	5276																	
81	5798																	
82	4382																	
83	13336																	
84	6936																	
85	4744																	
86	4937																	
87	6318																	
88	6276																	
89	18981																	
90	18175																	
91	8880																	
92	18101																	
93	10361																	
94	11855																	
95	10922																	
96	17391																	
97	13748																	
98	8180																	
99	18748																	
100	7324																	
